"","SetID","P.value","N.Marker.All","N.Marker.Test"
"764","LOC110117498-PIK3R3\x3bPIK3R3",1,2,0
"765","LOC440570\x3bMIR3675",1,2,0
"766","LOC643441\x3bMAGI3",1,2,0
"767","LOC644634",1,6,0
"768","LOC646471",1,1,0
"769","LOC728989",1,2,0
"770","LOR",1,2,0
"771","LPAR3",1,2,0
"772","LRIF1",1,2,0
"773","LRIG2",1,11,0
"774","LRP8",1,19,0
"775","LRRC38",1,1,0
"776","LRRC39",1,1,0
"777","LRRC40",1,5,0
"778","LRRC41",1,6,0
"779","LRRC42",1,2,0
"780","LRRC47",1,10,0
"781","LRRC53",1,6,0
"782","LRRC7",1,12,0
"783","LRRC71",1,6,0
"784","LRRC8B",1,6,0
"785","LRRC8C",1,8,0
"786","LRRC8D",1,2,0
"787","LRRIQ3",1,3,0
"788","LSM10",1,1,0
"789","LUZP1",1,5,0
"790","LY9",1,5,0
"791","LYPLA2",1,8,0
"792","LYSMD1",1,2,0
"793","LZIC",1,4,0
"794","MAB21L3",1,2,0
"795","MACF1",1,71,0
"796","MACO1",1,6,0
"797","MAD2L2",1,8,0
"798","MAEL",1,4,0
"799","MAGI3",1,13,0
"800","MAGOH",1,3,0
"801","MAN1A2",1,3,0
"802","MAN1C1",1,13,0
"803","MANEAL",1,9,0
"804","MAP3K6",1,18,0
"805","MAP7D1",1,13,0
"806","MARCKSL1",1,2,0
"807","MASP2",1,4,0
"808","MAST2",1,26,0
"809","MATN1",1,5,0
"810","MCL1\x3bENSA",1,1,0
"811","MCOLN2",1,5,0
"812","MCOLN3",1,2,0
"813","MDS2",1,2,0
"814","MEAF6",1,8,0
"815","MECR",1,4,0
"816","MED8",1,6,0
"817","MEF2D",1,6,0
"818","MEGF6",1,35,0
"819","METTL11B",1,1,0
"820","MEX3A",1,3,0
"821","MFAP2",1,5,0
"822","MFN2",1,4,0
"823","MFSD14A",1,4,0
"824","MFSD2A",1,5,0
"825","MGST3",1,2,0
"826","MIB2",1,16,0
"827","MICOS10",1,1,0
"828","MICOS10-NBL1",1,2,0
"829","MICOS10-NBL1\x3bNBL1",1,4,0
"830","MICOS10\x3bMICOS10-NBL1",1,3,0
"831","MIER1",1,4,0
"832","MIGA1",1,9,0
"833","MIIP",1,5,0
"834","MINDY1",1,6,0
"835","MIR3675",1,1,0
"836","MIR3675\x3bESPNP",1,2,0
"837","MIR3675\x3bLOC440570",1,5,0
"838","MIR4259",1,1,0
"839","MIR548N",1,1,0
"840","MIR552\x3bGJB5",1,1,0
"841","MIR6808",1,1,0
